name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Helictotrichon pubescens,Helictotrichon,Helictotrichon pubescens,1,1
Heracleum sphondylium,Heracleum,Heracleum sphondylium,1,1
Hieracium,Asteraceae,Hieracium,0,0
Hieracium aurantiacum,Hieracium subg. Pilosella,Hieracium aurantiacum,0,0
Hieracium pilosella,Hieracium subg. Pilosella,Hieracium pilosella,1,1
Hieracium piloselloides,Hieracium subg. Pilosella,Hieracium piloselloides,0,0
Hieracium subg. Pilosella,Hieracium,Hieracium subg. Pilosella,0,0
Hieracium umbellatum,Hieracium subg. Hieracium,Hieracium umbellatum,1,1
Hippocrepis comosa,Hippocrepis,Hippocrepis comosa,1,1
Holcus lanatus,Holcus,Holcus lanatus,1,1
Holcus mollis,Holcus,Holcus mollis,0,0
Hordeum vulgare,Hordeum,Hordeum vulgare,0,0
Hornungia petraea,Hornungia,Hornungia petraea,1,1
Humulus lupulus,Humulus,Humulus lupulus,0,0
Hypericum maculatum agg.,Hypericum,Hypericum maculatum agg.,1,1
Hypericum perforatum,Hypericum,Hypericum perforatum,1,1
Hypericum tetrapterum,Hypericum,Hypericum tetrapterum,1,1
Hypochaeris radicata,Hypochaeris,Hypochaeris radicata,1,1
Inula britannica,Inula,Inula britannica,1,1
Inula conyzae,Inula,Inula conyzae,0,0
Inula hirta,Inula,Inula hirta,1,1
Inula salicina,Inula,Inula salicina,1,1
Iris pseudacorus,Iris,Iris pseudacorus,0,0
Jasione montana,Jasione,Jasione montana,1,1
Juncus acutiflorus,Juncus,Juncus acutiflorus,1,1
Juncus articulatus,Juncus,Juncus articulatus,1,1
Juncus compressus agg.,Juncus,Juncus compressus agg.,0,0
Juncus conglomeratus,Juncus,Juncus conglomeratus,1,1
Juncus effusus,Juncus,Juncus effusus,1,1
Juncus inflexus,Juncus,Juncus inflexus,1,1
Juncus tenuis,Juncus,Juncus tenuis,0,0
Knautia arvensis s. str.,Knautia arvensis agg.,Knautia arvensis agg.,1,1
Koeleria macrantha,Koeleria pyramidata agg.,Koeleria pyramidata agg.,1,1
Koeleria pyramidata,Koeleria pyramidata agg.,Koeleria pyramidata agg.,1,1
Lactuca serriola,Lactuca,Lactuca serriola,0,0
Lamium album,Lamium,Lamium album,0,0
Lamium purpureum s. str.,Lamium,Lamium purpureum s. str.,0,0
Lappula squarrosa,Lappula,Lappula squarrosa,0,0
Lapsana communis,Lapsana,Lapsana communis,0,0
Lathyrus palustris,Lathyrus,Lathyrus palustris,1,1
Lathyrus pratensis,Lathyrus,Lathyrus pratensis,1,1
Lathyrus tuberosus,Lathyrus,Lathyrus tuberosus,0,0
Legousia speculum-veneris,Legousia,Legousia speculum-veneris,0,0
Leontodon,Asteraceae,Leontodon,0,0
Leontodon hispidus,Leontodon,Leontodon hispidus,1,1
Lepidium campestre,Lepidium,Lepidium campestre,0,0
Lepidium draba,Lepidium,Lepidium draba,0,0
Leucanthemum ircutianum,Leucanthemum vulgare agg.,Leucanthemum vulgare agg.,0,1
Leucanthemum vulgare agg.,Leucanthemum,Leucanthemum vulgare agg.,1,1
Leucanthemum vulgare s. str.,Leucanthemum vulgare agg.,Leucanthemum vulgare agg.,1,1
Ligustrum vulgare,Ligustrum,Ligustrum vulgare,0,0
Linaria vulgaris,Linaria,Linaria vulgaris,0,0
Linum austriacum,Linum perenne agg.,Linum perenne agg.,0,1
Linum catharticum,Linum,Linum catharticum,1,1
Linum perenne agg.,Linum,Linum perenne agg.,1,1
Listera ovata,Listera,Listera ovata,1,1
Lithospermum officinale,Lithospermum,Lithospermum officinale,0,0
Lolium hybridum,Lolium,Lolium hybridum,0,0
Lolium multiflorum,Lolium,Lolium multiflorum,0,0
Lolium perenne,Lolium,Lolium perenne,1,1
Lotus corniculatus,Lotus corniculatus agg.,Lotus corniculatus agg.,1,1
Lotus pedunculatus,Lotus,Lotus pedunculatus,1,1
Lotus tenuis,Lotus corniculatus agg.,Lotus corniculatus agg.,0,1
Luzula campestris agg.,Luzula,Luzula campestris agg.,1,1
Luzula multiflora s. str.,Luzula multiflora s. l.,Luzula campestris agg.,1,1
Lychnis flos-cuculi,Lychnis (nom. rej. sub Silene),Lychnis flos-cuculi,1,1
Lysimachia nummularia,Lysimachia,Lysimachia nummularia,0,0
Lysimachia vulgaris,Lysimachia,Lysimachia vulgaris,1,1
Lythrum salicaria,Lythrum,Lythrum salicaria,1,1
Mahonia aquifolium,Mahonia,Mahonia aquifolium,0,0
Malva,Malvaceae,Malva,0,0
Malva moschata,Malva,Malva moschata,1,1
Matricaria chamomilla,Matricaria,Matricaria chamomilla,0,0
Medicago,Fabaceae,Medicago,0,0
Medicago falcata s. str.,Medicago sativa agg.,Medicago sativa agg.,1,1
Medicago lupulina,Medicago,Medicago lupulina,1,1
Medicago minima,Medicago,Medicago minima,1,1
Medicago sativa,Medicago sativa agg.,Medicago sativa agg.,0,1
Medicago varia,Medicago sativa agg.,Medicago sativa agg.,0,1
Melampyrum arvense,Melampyrum,Melampyrum arvense,1,1
Melampyrum pratense,Melampyrum,Melampyrum pratense,0,0
Melica nutans agg.,Melica,Melica nutans agg.,0,0
Melilotus dentatus,Melilotus,Melilotus dentatus,0,0
Mentha,Lamiaceae,Mentha,0,0
Mentha aquatica,Mentha,Mentha aquatica,1,1
Microthlaspi perfoliatum,Microthlaspi,Microthlaspi perfoliatum,1,1
Molinia caerulea s. str.,Molinia caerulea agg.,Molinia caerulea agg.,1,1
Muscari tenuiflorum,Muscari,Muscari tenuiflorum,1,1
Myosotis,Boraginaceae,Myosotis,0,0
Myosotis arvensis,Myosotis,Myosotis arvensis,0,0
Myosotis discolor,Myosotis,Myosotis discolor,1,1
Myosotis ramosissima,Myosotis,Myosotis ramosissima,1,1
Myosotis scorpioides,Myosotis scorpioides agg.,Myosotis scorpioides agg.,1,1
Myosotis stricta,Myosotis,Myosotis stricta,1,1
Nardus stricta,Nardus,Nardus stricta,1,1
Odontites vernus,Odontites vernus agg.,Odontites vernus agg.,0,0
Odontites vernus agg.,Odontites,Odontites vernus agg.,0,0
Oenothera-biennis-Gruppe,Oenothera,Oenothera-biennis-Gruppe,0,0
Onobrychis viciifolia,Onobrychis viciifolia agg.,Onobrychis viciifolia agg.,1,1
Ononis repens,Ononis spinosa agg.,Ononis spinosa agg.,1,1
Ononis spinosa s. str.,Ononis spinosa agg.,Ononis spinosa agg.,1,1
Onopordum acanthium,Onopordum,Onopordum acanthium,0,0
Ophrys apifera,Ophrys,Ophrys apifera,1,1
Ophrys insectifera,Ophrys,Ophrys insectifera,1,1
Ophrys sphegodes s. str.,Ophrys sphegodes agg.,Ophrys sphegodes agg.,1,1
Orchis militaris,Orchis,Orchis militaris,1,1
Orchis purpurea,Orchis,Orchis purpurea,1,1
Orchis pyramidalis,Orchis,Orchis pyramidalis,1,1
Orchis tridentata,Orchis,Orchis tridentata,1,1
Orchis ustulata,Orchis,Orchis ustulata,1,1
Origanum vulgare,Origanum,Origanum vulgare,1,1
Ornithogalum umbellatum,Ornithogalum,Ornithogalum umbellatum agg.,1,1
Ornithogalum umbellatum s. l.,Ornithogalum umbellatum agg.,Ornithogalum umbellatum agg.,1,1
Ornithopus perpusillus,Ornithopus,Ornithopus perpusillus,1,1
Orobanche gracilis,Orobanche,Orobanche gracilis,1,1
Oxytropis pilosa,Oxytropis,Oxytropis pilosa,1,1
Papaver dubium s. l.,Papaver,Papaver dubium s. l.,0,0
Papaver rhoeas,Papaver,Papaver rhoeas,0,0
Parnassia palustris,Parnassia,Parnassia palustris,1,1
Pastinaca sativa,Pastinaca,Pastinaca sativa,1,1
Persicaria amphibia,Persicaria,Persicaria amphibia,0,0
Persicaria maculosa,Persicaria,Persicaria maculosa,0,0
Petrorhagia prolifera,Petrorhagia,Petrorhagia prolifera,1,1
Petrorhagia saxifraga,Petrorhagia,Petrorhagia saxifraga,1,1
Peucedanum cervaria,Peucedanum,Peucedanum cervaria,1,1
Peucedanum officinale,Peucedanum,Peucedanum officinale,1,1
Peucedanum oreoselinum,Peucedanum,Peucedanum oreoselinum,1,1
Peucedanum palustre,Peucedanum,Peucedanum palustre,1,1
Phalaris arundinacea,Phalaris,Phalaris arundinacea,1,1
Phleum phleoides,Phleum,Phleum phleoides,1,1
