id.site,site.type,hydrology,region,fg.ratio,fg.ratio.std,rest.meth,land.use.hist,rest.age,rest.age.std,cover.grass,cover.forbs,cover.legumes,tot.hill.0,tot.hill.1,target.hill.0,target.hill.1,fcsi.hill.0
S_GIG,restored,fresh,south,0.322,-0.6970215492156593,dih,grassland,16,0.6685229738944245,70,21.75,0.7625,55,21.747254699263756,43,17.315639495168696,3.7629874262676584
S_GSH,restored,fresh,south,1.222,0.3291309427847558,res,arable land,2,-1.0246206383809016,45,28.75,26.25,46,22.277043661825186,38,17.549550403128258,3.640505869829721
S_GSR,restored,fresh,south,0.454,-0.546519183722265,dih,arable land,15,0.547584144446187,70,16.25,15.5,33,11.822297336658243,26,10.324767190217589,3.262892710284975
S_GTZ,restored,moist,south,0.309,-0.7118437518778874,dih,grassland,5,-0.6618041500361889,78.5,23.25,1,61,24.298428434056717,55,24.179180501815996,4.0099272204095175
S_HBF,negative,fresh,south,0.14,-0.9045323864868543,NA,NA,NA,NA,87.5,1.25,11,14,3.433858961650793,12,3.4162689003959312,2.512305623976115
S_HGR,negative,fresh,south,0.153,-0.8897101838246261,NA,NA,NA,NA,90,13.75,0.0025,20,4.597060677204307,10,2.6239721145826103,2.3116349285139637
S_HLZ,restored,moist,south,0.22,-0.813318831642373,dih,arable land,6,-0.5408653205879513,71.25,15,0.675,53,21.947013313801445,48,19.26574865055348,3.874667218884377
S_HTH,restored,dry,south,1.185,0.2869446736691833,dih,arable land,3,-0.903681808932664,39.25,30,16.5,78,26.24751187843782,58,21.93131312390038,4.061263691757849
S_HUB,restored,dry,south,2.178,1.419132923176308,dih,arable land,13,0.30570648554971175,29.5,34.75,29.5,52,22.81078827211634,48,21.914836117481403,3.8753590210565543
S_JAN,negative,fresh,south,0.048,-1.0094279745580077,NA,NA,NA,NA,94.5,1.5,3.03,16,1.7593222823743015,13,5.48832045096406,2.583997552432231
S_JAU,restored,fresh,south,4.513,4.081428555199607,res,arable land,3,-0.903681808932664,20,11.5,78.75,31,8.06213478402527,30,8.050746243124864,3.417726683613366
S_JHB,restored,moist,south,0.38,-0.6308917219534103,cus,arable land,36,3.087299562859176,65.75,22,3,45,16.532544767116068,41,14.027451749136208,3.7184382563554808
S_JOS,restored,fresh,south,1.49,0.6346963515137684,res,grassland,NA,NA,38.75,31.25,26.5,47,20.986600890551813,40,19.042191758276655,3.69199958145018
S_KDT,positive,fresh,south,1.333,0.45568975013147367,NA,NA,NA,NA,41.25,33.75,21.25,73,36.95812088881457,61,32.15038005793653,4.112134103785599
S_KRT,restored,dry,south,0.856,-0.08817107062874631,dih,grassland,13,0.30570648554971175,48.75,32.75,9,71,24.24473445165643,59,20.028234188111472,4.078840375686135
S_LAP,restored,fresh,south,1.452,0.5913699129626396,res,grassland,NA,NA,36.25,49.75,2.9,56,19.50325775964266,32,11.454718357320475,3.466985122200158
S_LPI,restored,dry,south,1.693,0.8661507469316398,dih,arable land,NA,NA,31.75,32.25,21.5,60,25.224018663508744,52,22.494747474531863,3.95337819111006
S_MAS,restored,moist,south,0.306,-0.7152642601845556,cus,grassland,NA,NA,73.75,21.75,0.8025,42,16.802691521114337,40,15.664703607123233,3.6971782569286313
S_MBM,restored,moist,south,0.434,-0.5693225724333854,dih,arable land,15,0.547584144446187,60.75,22.5,3.875,59,18.68086614480233,45,14.777559337911836,3.808142874940754
