id.plot,name.plant,cf,TaxonRank,IsChildTaxonOf,remarks,cover.adapt.brbl,cover
M_BAD_A4,Festuca rupicola,no,SPE,Festuca ovina agg.,NA,+,0.5
M_BAD_A4,Fragaria viridis,no,SPE,Fragaria,NA,2a,10
M_BAD_A4,Galium verum s. str.,no,SPE,Galium verum agg.,NA,+,0.5
M_BAD_A4,Hippocrepis comosa,no,SPE,Hippocrepis,NA,r,0.1
M_BAD_A4,Koeleria macrantha,no,SPE,Koeleria pyramidata agg.,NA,+,0.5
M_BAD_A4,Ligustrum vulgare,no,SPE,Ligustrum,NA,1a,2
M_BAD_A4,Medicago lupulina,no,SPE,Medicago,NA,r,0.1
M_BAD_A4,Orchis purpurea,no,SPE,Orchis,Purpur-Knabenkraut,1a,2
M_BAD_A4,Potentilla heptaphylla,no,SPE,Potentilla,NA,+,0.5
M_BAD_A4,Potentilla verna,no,SPE,Potentilla verna agg.,eingetragen als Potentilla neumanniana,r,0.1
M_BAD_A4,Prunus,no,GAT,Rosaceae,spec.,1a,2
M_BAD_A4,Rosa,no,GAT,Rosaceae,spec.,1b,4
M_BAD_A4,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_BAD_A4,Seseli hippomarathrum,no,SPE,Seseli,NA,2a,10
M_BAD_A4,Thymus praecox,no,SPE,Thymus,NA,+,0.5
M_BAD_T,Centaurea jacea agg.,no,AGG,Centaurea,NA,NA,NA
M_BAD_T,Centaurea scabiosa,no,SPE,Centaurea,NA,NA,NA
M_BAD_T,Cirsium vulgare,no,SPE,Cirsium,"auf Bogen: dt. Name """"Rucola"""" Doppelsame --> wäre aber Diplotaxis tenuifolia",NA,NA
M_BAD_T,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,NA,NA
M_BAD_T,Hieracium,no,GAT,Asteraceae,spec.,NA,NA
M_BAD_T,Hypericum perforatum,no,SPE,Hypericum,NA,NA,NA
M_BAD_T,Inula conyzae,no,SPE,Inula,NA,NA,NA
M_BAD_T,Lepidium campestre,no,SPE,Lepidium,NA,NA,NA
M_BAD_T,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,NA,NA,NA
M_BAD_T,Medicago sativa,no,SPE,Medicago sativa agg.,NA,NA,NA
M_BAD_T,Ophrys insectifera,no,SPE,Ophrys,NA,NA,NA
M_BAD_T,Picris hieracioides s. l.,no,SPE,Picris,NA,NA,NA
M_BAD_T,Potentilla incana,no,SPE,Potentilla verna agg.,eingetragen als Potentilla cinerea auct.,NA,NA
M_BAD_T,Ranunculus bulbosus,no,SPE,Ranunculus,NA,NA,NA
M_BAD_T,Salvia pratensis,no,SPE,Salvia,NA,NA,NA
M_BAD_T,Sorbus torminalis,no,SPE,Sorbus,NA,NA,NA
M_BAD_T,Stachys recta,no,SPE,Stachys,NA,NA,NA
M_BAD_T,Viburnum lantana,no,SPE,Viburnum,NA,NA,NA
M_BAD_T,Viola hirta,no,SPE,Viola,NA,NA,NA
M_BAL_A1,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,3,37.5
M_BAL_A1,Bromus hordeaceus,no,SPE,Bromus hordeaceus agg.,NA,+,0.5
M_BAL_A1,Bromus sterilis,no,SPE,Bromus,NA,1a,2
M_BAL_A1,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,NA,1a,2
M_BAL_A1,Cirsium arvense,no,SPE,Cirsium,NA,r,0.1
M_BAL_A1,Crataegus monogyna,no,SPE,Crataegus,NA,+,0.5
M_BAL_A1,Fragaria viridis,no,SPE,Fragaria,NA,2a,10
M_BAL_A1,Galium mollugo agg.,no,AGG,Galium,NA,1a,2
M_BAL_A1,Myosotis ramosissima,no,SPE,Myosotis,NA,r,0.1
M_BAL_A1,Poa pratensis agg.,no,AGG,Poa,NA,1a,2
M_BAL_A1,Prunus spinosa s. str.,no,SPE,Prunus spinosa agg.,NA,+,0.5
M_BAL_A1,Torilis arvensis,no,SPE,Torilis,NA,1a,2
M_BAL_A1,Valerianella locusta,no,SPE,Valerianella,NA,1b,4
M_BAL_A1,Veronica arvensis,no,SPE,Veronica,NA,1a,2
M_BAL_A1,Vicia hirsuta,no,SPE,Vicia,NA,+,0.5
M_BAL_A2,Arenaria serpyllifolia s. l.,no,SPE,Arenaria serpyllifolia agg.,eingetragen als Arenaria serpyllifolia agg.,+,0.5
M_BAL_A2,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,3,37.5
M_BAL_A2,Bromus sterilis,no,SPE,Bromus,NA,+,0.5
M_BAL_A2,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,NA,1a,2
M_BAL_A2,Convolvulus arvensis,no,SPE,Convolvulus,NA,2a,10
M_BAL_A2,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,+,0.5
M_BAL_A2,Festuca ovina agg.,no,AG1,Festuca,NA,1a,2
M_BAL_A2,Festuca rubra,no,SPE,Festuca rubra agg.,NA,1a,2
